query_id,query,doc_id,document_title,relevance_label
q1,What specific problem does DPR identify with BM25 and TF-IDF for open-domain question answering?,16,15_LLMasJudge.pdf,not_relevant
q1,What specific problem does DPR identify with BM25 and TF-IDF for open-domain question answering?,15,14_InstructGPT.pdf,not_relevant
q1,What specific problem does DPR identify with BM25 and TF-IDF for open-domain question answering?,14,13_ChainOfThought.pdf,not_relevant
q1,What specific problem does DPR identify with BM25 and TF-IDF for open-domain question answering?,13,12_Attention.pdf,not_relevant
q1,What specific problem does DPR identify with BM25 and TF-IDF for open-domain question answering?,12,11_BERT.pdf,not_relevant
q1,What specific problem does DPR identify with BM25 and TF-IDF for open-domain question answering?,11,10_FActScore.pdf,not_relevant
q1,What specific problem does DPR identify with BM25 and TF-IDF for open-domain question answering?,10,09_BART.pdf,not_relevant
q1,What specific problem does DPR identify with BM25 and TF-IDF for open-domain question answering?,9,08_PEGASUS.pdf,not_relevant
q1,What specific problem does DPR identify with BM25 and TF-IDF for open-domain question answering?,8,07_DrQA.pdf,not_relevant
q1,What specific problem does DPR identify with BM25 and TF-IDF for open-domain question answering?,7,06_NaturalQuestions.pdf,not_relevant
q1,What specific problem does DPR identify with BM25 and TF-IDF for open-domain question answering?,6,05_SQuAD.pdf,not_relevant
q1,What specific problem does DPR identify with BM25 and TF-IDF for open-domain question answering?,5,04_BEIR.pdf,not_relevant
q1,What specific problem does DPR identify with BM25 and TF-IDF for open-domain question answering?,4,03_RAG.pdf,not_relevant
q1,What specific problem does DPR identify with BM25 and TF-IDF for open-domain question answering?,3,02_ColBERT.pdf,not_relevant
q1,What specific problem does DPR identify with BM25 and TF-IDF for open-domain question answering?,2,01_DPR.pdf,relevant
q1,What specific problem does DPR identify with BM25 and TF-IDF for open-domain question answering?,1,WPA3_SAE_Presentation.pdf,not_relevant
q2,How does DPR train its dual-encoder using in-batch negative sampling?,16,15_LLMasJudge.pdf,not_relevant
q2,How does DPR train its dual-encoder using in-batch negative sampling?,15,14_InstructGPT.pdf,not_relevant
q2,How does DPR train its dual-encoder using in-batch negative sampling?,14,13_ChainOfThought.pdf,not_relevant
q2,How does DPR train its dual-encoder using in-batch negative sampling?,13,12_Attention.pdf,not_relevant
q2,How does DPR train its dual-encoder using in-batch negative sampling?,12,11_BERT.pdf,not_relevant
q2,How does DPR train its dual-encoder using in-batch negative sampling?,11,10_FActScore.pdf,not_relevant
q2,How does DPR train its dual-encoder using in-batch negative sampling?,10,09_BART.pdf,not_relevant
q2,How does DPR train its dual-encoder using in-batch negative sampling?,9,08_PEGASUS.pdf,not_relevant
q2,How does DPR train its dual-encoder using in-batch negative sampling?,8,07_DrQA.pdf,not_relevant
q2,How does DPR train its dual-encoder using in-batch negative sampling?,7,06_NaturalQuestions.pdf,not_relevant
q2,How does DPR train its dual-encoder using in-batch negative sampling?,6,05_SQuAD.pdf,not_relevant
q2,How does DPR train its dual-encoder using in-batch negative sampling?,5,04_BEIR.pdf,not_relevant
q2,How does DPR train its dual-encoder using in-batch negative sampling?,4,03_RAG.pdf,not_relevant
q2,How does DPR train its dual-encoder using in-batch negative sampling?,3,02_ColBERT.pdf,not_relevant
q2,How does DPR train its dual-encoder using in-batch negative sampling?,2,01_DPR.pdf,relevant
q2,How does DPR train its dual-encoder using in-batch negative sampling?,1,WPA3_SAE_Presentation.pdf,not_relevant
q3,What is the Wikipedia passage corpus used by DPR and how are passages chunked and indexed?,16,15_LLMasJudge.pdf,not_relevant
q3,What is the Wikipedia passage corpus used by DPR and how are passages chunked and indexed?,15,14_InstructGPT.pdf,not_relevant
q3,What is the Wikipedia passage corpus used by DPR and how are passages chunked and indexed?,14,13_ChainOfThought.pdf,not_relevant
q3,What is the Wikipedia passage corpus used by DPR and how are passages chunked and indexed?,13,12_Attention.pdf,not_relevant
q3,What is the Wikipedia passage corpus used by DPR and how are passages chunked and indexed?,12,11_BERT.pdf,not_relevant
q3,What is the Wikipedia passage corpus used by DPR and how are passages chunked and indexed?,11,10_FActScore.pdf,not_relevant
q3,What is the Wikipedia passage corpus used by DPR and how are passages chunked and indexed?,10,09_BART.pdf,not_relevant
q3,What is the Wikipedia passage corpus used by DPR and how are passages chunked and indexed?,9,08_PEGASUS.pdf,not_relevant
q3,What is the Wikipedia passage corpus used by DPR and how are passages chunked and indexed?,8,07_DrQA.pdf,not_relevant
q3,What is the Wikipedia passage corpus used by DPR and how are passages chunked and indexed?,7,06_NaturalQuestions.pdf,not_relevant
q3,What is the Wikipedia passage corpus used by DPR and how are passages chunked and indexed?,6,05_SQuAD.pdf,not_relevant
q3,What is the Wikipedia passage corpus used by DPR and how are passages chunked and indexed?,5,04_BEIR.pdf,not_relevant
q3,What is the Wikipedia passage corpus used by DPR and how are passages chunked and indexed?,4,03_RAG.pdf,not_relevant
q3,What is the Wikipedia passage corpus used by DPR and how are passages chunked and indexed?,3,02_ColBERT.pdf,not_relevant
q3,What is the Wikipedia passage corpus used by DPR and how are passages chunked and indexed?,2,01_DPR.pdf,relevant
q3,What is the Wikipedia passage corpus used by DPR and how are passages chunked and indexed?,1,WPA3_SAE_Presentation.pdf,not_relevant
q4,What top-20 retrieval accuracy does DPR report on the Natural Questions test set?,16,15_LLMasJudge.pdf,not_relevant
q4,What top-20 retrieval accuracy does DPR report on the Natural Questions test set?,15,14_InstructGPT.pdf,not_relevant
q4,What top-20 retrieval accuracy does DPR report on the Natural Questions test set?,14,13_ChainOfThought.pdf,not_relevant
q4,What top-20 retrieval accuracy does DPR report on the Natural Questions test set?,13,12_Attention.pdf,not_relevant
q4,What top-20 retrieval accuracy does DPR report on the Natural Questions test set?,12,11_BERT.pdf,not_relevant
q4,What top-20 retrieval accuracy does DPR report on the Natural Questions test set?,11,10_FActScore.pdf,not_relevant
q4,What top-20 retrieval accuracy does DPR report on the Natural Questions test set?,10,09_BART.pdf,not_relevant
q4,What top-20 retrieval accuracy does DPR report on the Natural Questions test set?,9,08_PEGASUS.pdf,not_relevant
q4,What top-20 retrieval accuracy does DPR report on the Natural Questions test set?,8,07_DrQA.pdf,not_relevant
q4,What top-20 retrieval accuracy does DPR report on the Natural Questions test set?,7,06_NaturalQuestions.pdf,not_relevant
q4,What top-20 retrieval accuracy does DPR report on the Natural Questions test set?,6,05_SQuAD.pdf,not_relevant
q4,What top-20 retrieval accuracy does DPR report on the Natural Questions test set?,5,04_BEIR.pdf,not_relevant
q4,What top-20 retrieval accuracy does DPR report on the Natural Questions test set?,4,03_RAG.pdf,not_relevant
q4,What top-20 retrieval accuracy does DPR report on the Natural Questions test set?,3,02_ColBERT.pdf,not_relevant
q4,What top-20 retrieval accuracy does DPR report on the Natural Questions test set?,2,01_DPR.pdf,relevant
q4,What top-20 retrieval accuracy does DPR report on the Natural Questions test set?,1,WPA3_SAE_Presentation.pdf,not_relevant
q5,How does DPR's dual-encoder architecture differ from a cross-encoder at inference time?,16,15_LLMasJudge.pdf,not_relevant
q5,How does DPR's dual-encoder architecture differ from a cross-encoder at inference time?,15,14_InstructGPT.pdf,not_relevant
q5,How does DPR's dual-encoder architecture differ from a cross-encoder at inference time?,14,13_ChainOfThought.pdf,not_relevant
q5,How does DPR's dual-encoder architecture differ from a cross-encoder at inference time?,13,12_Attention.pdf,not_relevant
q5,How does DPR's dual-encoder architecture differ from a cross-encoder at inference time?,12,11_BERT.pdf,not_relevant
q5,How does DPR's dual-encoder architecture differ from a cross-encoder at inference time?,11,10_FActScore.pdf,not_relevant
q5,How does DPR's dual-encoder architecture differ from a cross-encoder at inference time?,10,09_BART.pdf,not_relevant
q5,How does DPR's dual-encoder architecture differ from a cross-encoder at inference time?,9,08_PEGASUS.pdf,not_relevant
q5,How does DPR's dual-encoder architecture differ from a cross-encoder at inference time?,8,07_DrQA.pdf,not_relevant
q5,How does DPR's dual-encoder architecture differ from a cross-encoder at inference time?,7,06_NaturalQuestions.pdf,not_relevant
q5,How does DPR's dual-encoder architecture differ from a cross-encoder at inference time?,6,05_SQuAD.pdf,not_relevant
q5,How does DPR's dual-encoder architecture differ from a cross-encoder at inference time?,5,04_BEIR.pdf,not_relevant
q5,How does DPR's dual-encoder architecture differ from a cross-encoder at inference time?,4,03_RAG.pdf,not_relevant
q5,How does DPR's dual-encoder architecture differ from a cross-encoder at inference time?,3,02_ColBERT.pdf,not_relevant
q5,How does DPR's dual-encoder architecture differ from a cross-encoder at inference time?,2,01_DPR.pdf,relevant
q5,How does DPR's dual-encoder architecture differ from a cross-encoder at inference time?,1,WPA3_SAE_Presentation.pdf,not_relevant
q6,What pre-trained model serves as the backbone for DPR's question and passage encoders?,16,15_LLMasJudge.pdf,not_relevant
q6,What pre-trained model serves as the backbone for DPR's question and passage encoders?,15,14_InstructGPT.pdf,not_relevant
q6,What pre-trained model serves as the backbone for DPR's question and passage encoders?,14,13_ChainOfThought.pdf,not_relevant
q6,What pre-trained model serves as the backbone for DPR's question and passage encoders?,13,12_Attention.pdf,not_relevant
q6,What pre-trained model serves as the backbone for DPR's question and passage encoders?,12,11_BERT.pdf,not_relevant
q6,What pre-trained model serves as the backbone for DPR's question and passage encoders?,11,10_FActScore.pdf,not_relevant
q6,What pre-trained model serves as the backbone for DPR's question and passage encoders?,10,09_BART.pdf,not_relevant
q6,What pre-trained model serves as the backbone for DPR's question and passage encoders?,9,08_PEGASUS.pdf,not_relevant
q6,What pre-trained model serves as the backbone for DPR's question and passage encoders?,8,07_DrQA.pdf,not_relevant
q6,What pre-trained model serves as the backbone for DPR's question and passage encoders?,7,06_NaturalQuestions.pdf,not_relevant
q6,What pre-trained model serves as the backbone for DPR's question and passage encoders?,6,05_SQuAD.pdf,not_relevant
q6,What pre-trained model serves as the backbone for DPR's question and passage encoders?,5,04_BEIR.pdf,not_relevant
q6,What pre-trained model serves as the backbone for DPR's question and passage encoders?,4,03_RAG.pdf,not_relevant
q6,What pre-trained model serves as the backbone for DPR's question and passage encoders?,3,02_ColBERT.pdf,not_relevant
